sample	replicate	timepoint
P18358_1001	C1	T0	 
P18358_1002	C2	T0	 
P18358_1003	C3	T0	 
P18358_1004	TN1	T1	 
P18358_1005	TN2	T1	 
P18358_1006	TN3	T1	 
P18358_1007	C2	T1	 
P18358_1008	C3	T1	 
P18358_1009	C1	T1	 
P18358_1010	N1	T1	 
P18358_1011	N2	T1	 
P18358_1012	N3	T1	 
P18358_1013	TN1	T2	 
P18358_1014	TN2	T2	 
P18358_1015	TN3	T2	 
P18358_1016	N1	T2	 
P18358_1017	N2	T2	 
P18358_1018	N3	T2	 
P18358_1019	T1	T1	 
P18358_1020	T2	T1	 
P18358_1021	T3	T1	 
P18358_1022	C1	T2	 
P18358_1023	C2	T2	 
P18358_1024	C3	T2	 
P18358_1025	T1	T2	 
P18358_1026	T2	T2	 
P18358_1027	T3	T2	 
P18358_1028	C1	T3	 
P18358_1029	C2	T3	 
P18358_1030	C3	T3	 
P18358_1031	TN1	T3	 
P18358_1032	TN2	T3	 
P18358_1033	TN3	T3	 
P18358_1034	N1	T3	 
P18358_1035	N2	T3	 
P18358_1036	N3	T3	 
P18358_1037	T1	T3	 
P18358_1038	T2	T3	 
P18358_1039	T3	T3	 
P18358_1040	C1	T4	 
P18358_1041	C2	T4	 
P18358_1042	C3	T4	 
P18358_1043	N1	T4	 
P18358_1044	N2	T4	 
P18358_1045	N3	T4	 
P18358_1046	T1	T4	 
P18358_1047	T2	T4	 
P18358_1048	T3	T4	 
P18358_1049	TN1	T4	 
P18358_1050	TN2	T4	 
P18358_1051	TN23	T4	 
P18358_1052	T1	T5	 
P18358_1053	T2	T5	 
P18358_1054	T3	T5	 
P18358_1055	TN1	T5	 
P18358_1056	TN2	T5	 
P18358_1057	TN3	T5	 
P18358_1058	N1	T5	 
P18358_1059	N2	T5	 
P18358_1060	N3	T5	 
P18358_1061	C1	T5	 
P18358_1062	C2	T5	 
P18358_1063	C3	T5	 
P18358_1064	N1	T6	 
P18358_1065	N2	T6	 
P18358_1066	N3	T6	 
P18358_1067	TN1	T6	 
P18358_1068	TN2	T6	 
P18358_1069	TN3	T6	 
P18358_1070	T1	T6	 
P18358_1071	T2	T6	 
P18358_1072	T3	T6	 
P18358_1073	C1	T6	 
P18358_1074	C2	T6	 
P18358_1075	C3	T6	 
P18358_1076	TN3	T7	 
P18358_1077	TN2	T7	 
P18358_1078	T1	T7	 
P18358_1079	T2	T7	 
P18358_1080	T3	T7	 
P18358_1081	C1	T7	 
P18358_1082	C2	T7	 
P18358_1083	C3	T7	 
P18358_1084	N1	T7	 
P18358_1085	N2	T7	 
P18358_1086	T2	T8	 
P18358_1087	T3	T8	 
P18358_1088	C1	T8	 
P18358_1089	C2	T8	 
P18358_1090	C3	T8	 
P18358_1091	TN1	T8	 
P18358_1092	TN2	T8	 
P18358_1093	TN3	T8	 
P18358_1094	N1	T8	 
P18358_1095	N2	T8	 
P18358_1096	N3	T8	 
